iteration,learning_rate,last_perf,last_perf_cap,min_perf,time
in,in,out,out,out,out
int,float,float,float,float,float
206,9.00E-06,2.465145159,2.465145159,2.459329009,220.342851
207,9.14E-06,2.403061318,2.403061318,2.395983648,217.73691
208,9.29E-06,2.389466643,2.389466643,2.380742192,217.083128
209,9.43E-06,2.443373632,2.443373632,2.4331774,194.41497
210,9.57E-06,2.43319459,2.43319459,2.423182702,194.657328
211,9.71E-06,2.42071228,2.42071228,2.409200001,194.454822
212,9.86E-06,2.408501911,2.408501911,2.396150684,194.496237
213,1.00E-05,2.396868753,2.396868753,2.383405852,191.623508
214,1.14E-05,2.326294518,2.326294518,2.304886866,189.014091
215,1.29E-05,2.273004055,2.273004055,2.258706832,170.35761
216,1.43E-05,2.231329966,2.231329966,2.209948516,162.992811
217,1.43E-05,2.231329966,2.231329966,2.209948516,174.890842
218,1.57E-05,2.212623072,2.212623072,2.207379627,161.259479
219,1.71E-05,2.174630928,2.174630928,2.163378572,165.112644
220,1.86E-05,2.125973749,2.125973749,2.107690287,145.956401
221,2.00E-05,2.108386612,2.108386612,2.082829499,140.256489
222,2.14E-05,2.071530318,2.071530318,2.040390253,145.140856
223,2.29E-05,2.076248693,2.076248693,2.039670563,132.668129
224,2.43E-05,2.052717304,2.052717304,2.031667018,143.760741
225,2.57E-05,2.102070141,2.102070141,2.090374112,125.464472
226,2.71E-05,2.092476392,2.092476392,2.076081896,114.713151
227,2.86E-05,2.194325137,2.194325137,2.175779486,146.276037
228,2.86E-05,2.194325137,2.194325137,2.175779486,145.975271
229,3.00E-05,2.207232881,2.207232881,2.183720136,140.165154
230,3.14E-05,2.133802629,2.133802629,2.103705835,106.526726
231,3.29E-05,2.103099751,2.103099751,2.065954566,106.265746
232,3.43E-05,2.099728799,2.099728799,2.058619356,108.07977
233,3.57E-05,2.092645144,2.092645144,2.057078409,102.241731
234,3.71E-05,2.078923559,2.078923559,2.042186379,98.747023
235,3.86E-05,2.04834857,2.04834857,2.031090546,96.486893
236,4.00E-05,2.050042796,2.050042796,2.021407247,94.489603
237,4.14E-05,2.033899355,2.033899355,2.001883364,94.81755
238,4.29E-05,2.020778561,2.020778561,1.986483479,94.346072
239,4.29E-05,2.020778561,2.020778561,1.986483479,96.705086
240,4.43E-05,1.946792889,1.946792889,1.908811426,103.83349
241,4.57E-05,1.935202861,1.935202861,1.909113288,103.631852
242,4.71E-05,1.910961652,1.910961652,1.899429631,112.103166
243,4.86E-05,1.908019638,1.908019638,1.894230628,97.265307
244,5.00E-05,1.893847847,1.893847847,1.878369331,97.16221
245,5.14E-05,1.880430436,1.880430436,1.86033988,97.564308
246,5.29E-05,1.871106601,1.871106601,1.849579525,101.377712
247,5.43E-05,1.856214249,1.856214249,1.83072232,109.333218
248,5.57E-05,1.863014495,1.863014495,1.845174932,98.538592
249,5.71E-05,1.828451073,1.828451073,1.797361684,99.59679
250,5.71E-05,1.828451073,1.828451073,1.797361684,99.417627
251,5.86E-05,1.865743852,1.865743852,1.839655685,94.901173
252,6.00E-05,1.865135217,1.865135217,1.837203789,96.006808
253,6.14E-05,1.854292428,1.854292428,1.82520268,104.31513
254,6.29E-05,1.842882025,1.842882025,1.812222695,92.882942
255,6.43E-05,1.827982867,1.827982867,1.789422524,94.738052
256,6.57E-05,1.826369226,1.826369226,1.777460659,96.866832
257,6.71E-05,1.813604689,1.813604689,1.758929527,92.778509
258,6.86E-05,1.819443834,1.819443834,1.771960068,89.889386
259,7.00E-05,1.815924871,1.815924871,1.761015987,89.779337
260,7.14E-05,1.816234374,1.816234374,1.759659576,96.489236
261,7.14E-05,1.816234374,1.816234374,1.759659576,97.541077
262,7.29E-05,1.790990126,1.790990126,1.749494791,93.733176
263,7.43E-05,1.793586254,1.793586254,1.747340274,87.636458
264,7.57E-05,1.794151855,1.794151855,1.743176436,87.702105
265,7.71E-05,1.793767059,1.793767059,1.759934521,85.719744
266,7.86E-05,1.786143601,1.786143601,1.74782908,85.657248
267,8.00E-05,1.779618311,1.779618311,1.740487456,86.07309
268,8.14E-05,1.766361392,1.766361392,1.725101614,85.675662
269,8.29E-05,1.758826327,1.758826327,1.714218819,85.866585
270,8.43E-05,1.763910377,1.763910377,1.711996102,83.449198
271,8.57E-05,1.757971048,1.757971048,1.701820338,86.361388
272,8.57E-05,1.757971048,1.757971048,1.701820338,93.957174
273,8.71E-05,1.739923215,1.739923215,1.688670945,86.722352
274,8.86E-05,1.734427416,1.734427416,1.697842681,85.714302
275,9.00E-05,1.72927047,1.72927047,1.698752689,83.621125
276,9.14E-05,1.72474103,1.72474103,1.689517272,82.993686
277,9.29E-05,1.72590301,1.72590301,1.682568526,83.024381
278,9.43E-05,1.56997658,1.56997658,1.522341466,86.592702
279,9.57E-05,1.709542382,1.709542382,1.662574065,82.565745
280,9.71E-05,1.711366487,1.711366487,1.659799695,82.732456
281,9.86E-05,1.738269818,1.738269818,1.687292767,80.186438
282,0.0001,1.703781879,1.703781879,1.647600353,84.787962
283,0.000114286,1.612676835,1.612676835,1.546307266,76.979761
284,0.000128571,1.605537915,1.605537915,1.505591583,76.515441
285,0.000142857,1.596531487,1.596531487,1.481198645,75.010575
286,0.000142857,1.596531487,1.596531487,1.481198645,74.427356
287,0.000157143,1.590062368,1.590062368,1.475185001,73.233743
288,0.000171429,1.583926892,1.583926892,1.469281995,70.479047
289,0.000185714,1.55658977,1.55658977,1.442631948,76.345897
290,0.0002,1.539390635,1.539390635,1.433696425,68.737753
291,0.000214286,1.53922534,1.53922534,1.413670826,68.990045
292,0.000228571,1.535728371,1.535728371,1.421832478,67.446076
293,0.000242857,1.541052437,1.541052437,1.425883925,67.101556
