iteration,seed,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
132,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.05,lstm,230,tanh,0.25,relu,1.2179036378860473,1.1431928157806397,49.645066
133,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.075,lstm,230,tanh,0.25,relu,1.2511642098426818,1.1636494874954224,49.477652000000006
134,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.25,relu,1.2964695930480956,1.134484088420868,44.982946
135,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.125,lstm,230,tanh,0.25,relu,1.2328348517417909,1.13408465385437,47.707494000000004
136,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.15,lstm,230,tanh,0.25,relu,1.223995077610016,1.1654155135154725,49.01648399999999
137,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.175,lstm,230,tanh,0.25,relu,1.192127239704132,1.1135695695877075,47.899675
138,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.2,lstm,230,tanh,0.25,relu,1.247409951686859,1.1028432369232177,48.977847000000004
139,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.225,lstm,230,tanh,0.25,relu,1.4112939715385437,1.1921944856643676,44.652702
140,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.25,lstm,230,tanh,0.25,relu,1.4383954524993896,1.2531087756156922,47.975143
141,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.275,lstm,230,tanh,0.25,relu,1.3085068225860597,1.203341794013977,46.735959
142,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.3,lstm,230,tanh,0.25,relu,1.3440472841262818,1.1826622843742371,46.326501
143,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,lstm,230,tanh,0.275,relu,1.2286209344863892,1.0931727647781373,47.270414
144,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.275,relu,1.29179949760437,1.1722512006759644,50.516484999999996
145,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.05,lstm,230,tanh,0.275,relu,1.3010691285133362,1.210552954673767,48.108595
