iteration,seed,last_activation,last_perf,min_perf,time
2,3716060369,leaky_relu,1.238490403,1.139794326,46.854834
0,3207103834,linear,1.23259331,1.13035481,46.692877
1,3207103834,relu,1.244288278,1.127286005,45.589236
2,3207103834,leaky_relu,1.189962673,1.100967371,53.136791
0,3778109263,linear,1.288330936,1.1894979,48.619252
1,3778109263,relu,1.292420161,1.154027069,44.840477
2,3778109263,leaky_relu,1.194513154,1.099958229,48.474299
0,3496545766,linear,1.208952177,1.131341434,44.472604
1,3496545766,relu,1.257584083,1.126552033,46.414968
2,3496545766,leaky_relu,1.268665051,1.101214159,45.280335
0,1335467918,linear,1.276473665,1.160244167,43.449929
1,1335467918,relu,1.225602388,1.136022305,47.026768
2,1335467918,leaky_relu,1.275280237,1.166316891,44.649529
0,4170918987,linear,1.290286183,1.176761305,48.068434
1,4170918987,relu,1.280967522,1.178460515,48.166401
2,4170918987,leaky_relu,1.310316777,1.224873197,45.089387
0,3039524108,linear,1.356190884,1.187935829,43.455925
1,3039524108,relu,1.231882823,1.095539427,46.980775
2,3039524108,leaky_relu,1.298803365,1.18010695,46.353999
0,3313818313,linear,1.297930324,1.220583248,44.71151
1,3313818313,relu,1.190245938,1.116346991,54.177468
2,3313818313,leaky_relu,1.281163228,1.168464863,46.801841
0,1141579653,linear,1.143802047,1.047451389,50.771555
1,1141579653,relu,1.205325258,1.122309434,45.517256
2,1141579653,leaky_relu,1.268084335,1.146007836,45.683203
0,2024892151,linear,1.333465898,1.222242248,44.065727
1,2024892151,relu,1.400276458,1.238591194,44.37866
2,2024892151,leaky_relu,1.352020538,1.198169732,46.16205
0,424805941,linear,1.30004338,1.135531247,47.326671
1,424805941,relu,1.29016397,1.134573877,49.484972
2,424805941,leaky_relu,1.366838813,1.254546571,43.599877
0,4100482428,linear,1.295920086,1.164477789,49.614932
1,4100482428,relu,1.319992566,1.208329916,41.174664
2,4100482428,leaky_relu,1.305409241,1.183856523,42.365303
0,2761324463,linear,1.266941166,1.147659338,47.295681
1,2761324463,relu,1.246124029,1.113843668,45.256319
2,2761324463,leaky_relu,1.278257728,1.195037162,42.711152
