iteration,dense_layers_1,dense_layers_2,dense_layers_3,dense_layers_4,dense_layers_5,dense_layers_6,dense_layers_7,dense_layers_8,dense_layers_9,dense_layers_10,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out
int,int,int,int,int,int,int,int,int,int,int,int,str,str,str,float,str,int,str,float,str,float,float,float
149,392,308,8,342,445,477,97,0,0,0,7,0.0001,rmsprop,leaky_relu,0.2,none,659,tanh,0.1,relu,1.379067755,1.26877296,16.999255
150,467,384,95,51,79,0,0,0,0,0,5,0.0001,adadelta,leaky_relu,0,simplernn,740,relu,0.25,relu,1.635128212,1.222007549,45.006854
151,140,375,336,390,209,370,19,0,0,0,7,0.0001,rmsprop,relu,0.2,none,484,tanh,0.25,linear,1.458684039,1.37175982,17.385698
152,158,221,35,113,0,0,0,0,0,0,4,5.00E-05,adam,leaky_relu,0.2,none,501,tanh,0.25,relu,1.345077324,1.334571671,20.144884
153,185,0,0,0,0,0,0,0,0,0,1,0.0005,adadelta,relu,0.1,none,957,relu,0.2,relu,1.894078159,1.322263241,6.482778
154,322,239,289,0,0,0,0,0,0,0,3,0.0005,rmsprop,leaky_relu,0,lstm,113,tanh,0.15,relu,1.3215819,1.217378271,42.547319
155,208,208,325,110,47,214,438,137,0,0,8,0.0001,rmsprop,relu,0.1,lstm,372,tanh,0.1,relu,1.363802433,1.275726843,85.715996
156,412,113,255,80,50,275,0,0,0,0,6,0.0001,adam,leaky_relu,0.15,none,116,tanh,0,linear,1.36850419,1.299562716,19.538509
157,87,435,286,0,0,0,0,0,0,0,3,0.001,adadelta,relu,0,simplernn,724,relu,0,relu,2.122887063,1.190721822,27.948663
158,42,296,298,52,112,0,0,0,0,0,5,0.0005,rmsprop,leaky_relu,0.15,none,414,relu,0,linear,1.489678669,1.274827313,12.396533
159,445,462,338,428,47,170,265,218,0,0,8,0.0005,adam,relu,0.1,simplernn,370,relu,0.1,linear,1.699501801,1.399562335,35.403296
160,441,176,302,499,327,439,247,462,0,0,8,0.0005,adam,relu,0.25,none,320,relu,0.25,linear,1.963787532,1.394177008,20.912432
